Lemma,Grundform
Ameise,['Ameislein']
Amerika,"['Amerikanerl', 'Amerikanerlein', 'Ami']"
Märe,"['Ammenmärchen', 'Lügenmärlein', 'Lügmärchen', 'Märchen', 'Märlein', 'Sagenmärel']"
Amsel,['Amselein']
Bauch,"['Amtmannsbäuchlein', 'Amtsbäuchlein', 'Bauchelein', 'Bäuchchen', 'Bäuchel', 'Bäuchlein', 'Erdäpfelsbäuchlein', 'Fressbäuchelchen', 'Fressbäuchlein', 'Froschbäuchlein', 'Geheimratsbäuchlein', 'Heidenbäuchlein', 'Hängebäuchlein', 'Kartoffelbäuchlein', 'Kinderbäuchlein', 'Kommerzienratsbäuchlein', 'Kugelbäuchlein', 'Meistersbäuchlein', 'Mordsbäuchlein', 'Nudelbäuchlein', 'Schmerbäuchlein', 'Schmierbäuchelchen', 'Schulzenbäuchlein', 'Speckbäuchlein', 'Spitzbäuchlein', 'Wasserbäuchlein', 'Wespenbäuchlein']"
Ranzen,"['Amtmannsränzlein', 'Apfelränzchen', 'Huckelränzlein', 'Ränzchen', 'Ränzel', 'Ränzelein', 'Ränzlein', 'Äpfelränzchen']"
backen,"['Anbackelein', 'Apfelbackelein', 'Apfelbäckeslein', 'Auflaufbackelein', 'Backel', 'Backelein', 'Backerei', 'Backerlein', 'Backeslein', 'Backstoffel', 'Ballenbackelein', 'Buttermilchbackelein', 'Bäckelein', 'Bäckenkörblein', 'Bäckerei', 'Bäckerslein', 'Bäckeslein', 'Bäckselein', 'Erdbirnbackelein', 'Erdbirnenbackelein', 'Erdäpfelbäckeslein', 'Fleischbackelein', 'Fransenbackelein', 'Fransenklößbackelein', 'Grundbirnenbackelein', 'Kartoffelbackeslein', 'Klößbackelein', 'Mehlbackeslein', 'Patakenbackeslein', 'Röhrenbackeslein', 'Schlackenbackelein', 'Stampfbackelein', 'Äpfelbäckeslein']"
bauen,"['Anbäulein', 'Bäulein', 'Kanzelbäulein', 'Vorbaulein', 'Vorbäulein']"
Deckel,"['Andeckelein', 'Bierdeckelein', 'Bierflaschendeckelein', 'Deckelchen', 'Deckelein', 'Deckerl', 'Flaschendeckelein', 'Kronendeckelein', 'Sonnendeckelein']"
ander,['Anderlein']
